pas de temps;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115
nombre d'avions en maintenance;3;4;5;5;8;10;9;9;11;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;12;11;8;6;4;4;6;6;8;9;10;8;8;10;11;10;12;15;16;16;16;16;16;16;16;16;16;16;16;15;15;15;15;14;14;14;15;15;15;15;15;14;14;14;14;13;13;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;15;14;13;13;13;13;14;14;14;14;14;13;13;13;11;9;7;6;6;4;5
mip;3;1;1;0;3;2;2;1;3;3;3;3;3;1;3;3;3;3;3;1;3;3;3;3;3;1;3;3;3;2;0;0;0;1;1;2;2;0;2;3;2;1;3;3;3;3;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;2;3;1;2
nombre d'heures en metropole;2196;2178;2160;2178;2124;2052;2070;2070;1980;1926;1944;1854;1836;1800;1782;1746;1782;1764;1764;1620;1638;1674;1692;1692;1728;1692;1746;1746;1782;1800;1854;2016;2106;2106;2142;2142;2106;2142;2106;2070;2070;2142;2142;2106;2088;2052;2034;1944;1872;1872;1818;1764;1746;1728;1710;1656;1656;1674;1728;1710;1746;1764;1764;1746;1728;1710;1656;1674;1728;1764;1854;1908;1908;1944;1962;1998;1980;1980;1962;1944;1926;1962;1908;1944;1926;1926;1890;1854;1872;1854;1872;1908;1962;1998;2016;1998;1980;1998;1998;1962;1908;1926;1944;1962;1998;2016;2034;2052;2088;2124;2160;2178;2178;2214;2196
